,TILGANG1,ANVENDELSE,PRISENHED,TID,INDHOLD
0,"Intermediate consumption / final demand, purchasers prices",Total Use-(Use),Current prices,1966,177847.46
1,"Intermediate consumption / final demand, purchasers prices",Total Use-(Use),Current prices,1967,192060.186
2,"Intermediate consumption / final demand, purchasers prices",Total Use-(Use),Current prices,1968,209108.97
3,"Intermediate consumption / final demand, purchasers prices",Total Use-(Use),Current prices,1969,238140.725
4,"Intermediate consumption / final demand, purchasers prices",Total Use-(Use),Current prices,1970,267807.988
5,"Intermediate consumption / final demand, purchasers prices",Total Use-(Use),Current prices,1971,290691.798
6,"Intermediate consumption / final demand, purchasers prices",Total Use-(Use),Current prices,1972,325156.131
7,"Intermediate consumption / final demand, purchasers prices",Total Use-(Use),Current prices,1973,386377.678
8,"Intermediate consumption / final demand, purchasers prices",Total Use-(Use),Current prices,1974,453379.68
9,"Intermediate consumption / final demand, purchasers prices",Total Use-(Use),Current prices,1975,486169.252
10,"Intermediate consumption / final demand, purchasers prices",Total Use-(Use),Current prices,1976,573171.358
11,"Intermediate consumption / final demand, purchasers prices",Total Use-(Use),Current prices,1977,631173.792
12,"Intermediate consumption / final demand, purchasers prices",Total Use-(Use),Current prices,1978,691043.731
13,"Intermediate consumption / final demand, purchasers prices",Total Use-(Use),Current prices,1979,780851.091
14,"Intermediate consumption / final demand, purchasers prices",Total Use-(Use),Current prices,1980,864193.114
15,"Intermediate consumption / final demand, purchasers prices",Total Use-(Use),Current prices,1981,964207.43
16,"Intermediate consumption / final demand, purchasers prices",Total Use-(Use),Current prices,1982,1092554.376
17,"Intermediate consumption / final demand, purchasers prices",Total Use-(Use),Current prices,1983,1185540.371
18,"Intermediate consumption / final demand, purchasers prices",Total Use-(Use),Current prices,1984,1320928.59
19,"Intermediate consumption / final demand, purchasers prices",Total Use-(Use),Current prices,1985,1446438.891
20,"Intermediate consumption / final demand, purchasers prices",Total Use-(Use),Current prices,1986,1512278.033
21,"Intermediate consumption / final demand, purchasers prices",Total Use-(Use),Current prices,1987,1547907.521
22,"Intermediate consumption / final demand, purchasers prices",Total Use-(Use),Current prices,1988,1610097.485
23,"Intermediate consumption / final demand, purchasers prices",Total Use-(Use),Current prices,1989,1719803.458
24,"Intermediate consumption / final demand, purchasers prices",Total Use-(Use),Current prices,1990,1776929.951
25,"Intermediate consumption / final demand, purchasers prices",Total Use-(Use),Current prices,1991,1842096.445
26,"Intermediate consumption / final demand, purchasers prices",Total Use-(Use),Current prices,1992,1885667.32
27,"Intermediate consumption / final demand, purchasers prices",Total Use-(Use),Current prices,1993,1890012.349
28,"Intermediate consumption / final demand, purchasers prices",Total Use-(Use),Current prices,1994,2041869.617
29,"Intermediate consumption / final demand, purchasers prices",Total Use-(Use),Current prices,1995,2155651.196
30,"Intermediate consumption / final demand, purchasers prices",Total Use-(Use),Current prices,1996,2254718.427
31,"Intermediate consumption / final demand, purchasers prices",Total Use-(Use),Current prices,1997,2402037.382
32,"Intermediate consumption / final demand, purchasers prices",Total Use-(Use),Current prices,1998,2495330.612
33,"Intermediate consumption / final demand, purchasers prices",Total Use-(Use),Current prices,1999,2611172.352
34,"Intermediate consumption / final demand, purchasers prices",Total Use-(Use),Current prices,2000,2896459.509
35,"Intermediate consumption / final demand, purchasers prices",Total Use-(Use),Current prices,2001,3037018.522
36,"Intermediate consumption / final demand, purchasers prices",Total Use-(Use),Current prices,2002,3113484.255
37,"Intermediate consumption / final demand, purchasers prices",Total Use-(Use),Current prices,2003,3123657.183
38,"Intermediate consumption / final demand, purchasers prices",Total Use-(Use),Current prices,2004,3287048.339
39,"Intermediate consumption / final demand, purchasers prices",Total Use-(Use),Current prices,2005,3600203.943
40,"Intermediate consumption / final demand, purchasers prices",Total Use-(Use),Current prices,2006,3962611.398
41,"Intermediate consumption / final demand, purchasers prices",Total Use-(Use),Current prices,2007,4201733.249
42,"Intermediate consumption / final demand, purchasers prices",Total Use-(Use),Current prices,2008,4431957.748
43,"Intermediate consumption / final demand, purchasers prices",Total Use-(Use),Current prices,2009,3973741.507
